"filename","font_name","details"
"AnimalCandyDemoRegular-BF667be13d955d0.ttf","AnimalCandyDemo","Made with love in Indonesia - 2023 | PERSONAL License - Non Commercial | Email us hi@calligraphyfonts.net | Shalsha"
"AppleStoryDemoRegular-BF65efd4315cdbe.ttf","AppleStoryDemo","Made with love in Indonesia - 2022 | PERSONAL License - Non Commercial | Email us :  info@vintype.com | Shalsha"
"BADABB__.TTF","BadaBoom BB",""
"BabyMonster-free-BF690d4c718cb48.ttf","Baby Monster","BearyType, Brightline | BearyType | BearyType | Dian haniffan hadi"
"Bloomira-scr-free-BF690d534425da3.otf","Bloomira Scr","Bearytype studio | Bearytype studio | Bearytype studio | Dian Haniffan Hadi"
"BoB.ttf","BoB",""
"Boldreel.otf","Boldreel","Copyright (c) 2024 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"Broken-Willow-Free-BF68f37e56b3184.otf","Broken Willow Free Regular","Alpaprana Studio"
"Brown Cake.otf","Brown Cake","Copyright (c) 2024 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"BrozierRegular-8OKvz.ttf","Brozier Regular","www.blankidsfonts.com | www.blankidsfonts.com | Bangkit Tri Setiadi"
"Burbank Big Condensed Black.otf","Burbank Big Condensed Black","House Industries Font Software License Agreement

HOUSE INDUSTRIES PRODUCTS MAY NOT BE RETURNED OR EXCHANGED AFTER THE FONTS HAVE BEEN INSTALLED. 

Please read this agreement carefully! By installing House Industries font software, you are agreeing to the terms of this license. House Industries fonts and artwork are licensed for use on 6 rasterizing devices connected to the same network. A device may be, but is not limited to, a printer, rasterizer, video display terminal, CPU, workstation or any device where the font software is rasterized or display of the House Industries Font is generated from font software outlines. If your configuration exceeds this format, you must call House Industries at 302-234-2356 to expand your site license. If you do not agree to the terms of this software license, please return the software envelope unopened to House Industries, 1145 Yorklyn Road, Post Office Box 166, Yorklyn, Delaware, 19736-0166, U.S.A.

1. Each House Industries font is licensed for use on a maximum of six rasterizing devices connected to the same local area network. 
2. A multi-device site license upgrade must be purchased for multiple device use according to a multi-device license schedule available at www.houseindustries.com/license. Each location and/or entity must purchase a separate license, starting with the first device. An output device is any printer, such as a Linotronic rasterizer, laser printer, or dot-matrix printer, any video display terminal or any other device where display is generated from the font software outlines, such as with the use of Adobe Type Manager or native TrueType rasterizer if the font is to be used primarily for display terminals that generate the output, as in a multimedia CD. 
3. House Industries font software may not be copied or duplicated in any form except for backup purposes. House Industries font software or documentation may not be rented, leased, sublicensed or lent to another person or entity. 
4. House Industries font software may not be returned or exchanged unless defective. Defective software shall be replaced by the same software if accompanied with purchase receipt and seller is notified within one week of purchase. 
5. Any software, EPS file, illustration, or anything derived from House Industries font software must be used according to the original licensing terms. This means, for example, that any modified House Industries font, or any outline information derived from any House Industries font is still licensed for the same number of devices as the original and may not be sublicensed, given away, or sold without written permission from House Industries. House Industries is responsible for technical support of its officially distributed fonts only. House Industries is not responsible for modified and/or regenerated software. 
6. This license does not permit any form of embedding or encrypting of House Industries font software in digital documents or any other form. If embedding of House Industries fonts is desired, the user must purchase an additional license from House Industries based upon usage. If an embedding license is desired, licensee must represent and warrant that licensee's encryption of the embedded House Industries font software is secure enough to prevent access or use by anyone using the software in which the font data is embedded. 
7. The user of this House Industries font software agrees to credit House Industries as the trademark and copyright owner of the House Industries fonts and list the font names, wherever and whenever design, production, or any other credits are shown. 
8. Any violation by licensee of this agreement shall cause this license to be terminated. In the event of termination, and without limiting any other remedies which may be available against you, you must immediately return the font software to House Industries and certify that no copies remain in your possession or exist on the originally licensed site. 
9. House Industries makes no warranties express or implied as to merchantability, fitness for a particular purpose, or otherwise. Without limiting the aforementioned, House Industries shall in no event be liable for any direct, indirect, consequential, or incidental damages, including damages from loss of business profits, business interruption, and loss of business information, arising out of the use or inability to use the product. 
10. Multi-device License Upgrade Schedule:

	House Industries software is automatically licensed for use on a maximum of six rasterizing devices connected to the same local area network.  Each location and/or entity must purchase a separate license, starting with the first device. The upgrade price is calculated as a percentage of the original price of the software. The following is cumulative:

	- up to 10 devices: add 50 percent of original price;
	- 11 to 50 devices: add 20 percent of original price for each 5 devices;
	- 51 to 125 devices: add 15 percent of original price for each 5 devices;
	- 126 to 250 devices: add 10 percent of original price for each 5 devices;
	- 251 devices and over: add 5 percent of original price for each 5 devices;

If your usage exceeds the number of devices for a given output device category, you must purchase the upgrade with the applicable number of devices. Call 302-234-2356 for a quote. | http://www.houseindustries.com/license | Tal Leming"
"CSAylios-Regular_demo-BF692fe82adfc16.otf","CS Aylios Regular Demo",""
"CSBarbara-Regular_demo-BF68e77a98c2afc.otf","CS Barbara Regular Demo",""
"CSBlimie-Regular_demo-BF6919932d0b044.otf","CS Blimie Regular Demo",""
"CSGregory-Regular_demo-BF6902c160ae00f.otf","CS Gregory Regular Demo",""
"CSMortise-Regular_demo-BF691d7aebe5887.otf","CS Mortise Regular Demo",""
"CSRacons-Regular_demo-BF691d7bef12d6c.otf","CS Racons Regular Demo",""
"CSRolisy-Regular_demo-BF68fc4f36b9206.otf","CS Rolisy Regular Demo",""
"CSYonder-Regular_demo-BF6902c2d538a30.otf","CS Yonder Regular Demo",""
"Cakids-Regular-BF693994785a959.ttf","Cakids Regular","Aswangga"
"Cinema-Cartoon-BF663389af37a27.otf","Cinema Cartoon","This font was created using FontCreator 11.5 from High-Logic.com | For Personal Use Only | Ahmad Suhadi"
"Classy Flowers DEMO.ttf","Classy Flowers Regular","PERSONAL USE ONLY! | Ali Hamidi"
"Cleanow.otf","Cleanow","Copyright (c) 2025 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"Comic-Jungle-Extrude.ttf","Comic Jungle Extrude","www.blankidsfonts.com | www.blankidsfonts.com | Bangkit Tri Setiadi"
"ComicShark.otf","Comic Shark","This font was created using FontCreator 11.5 from High-Logic.com | Joe Letter"
"DAYSANS.otf","DAYSANS","MJType (Muhamad Junaid) www.mjtype.com"
"Dacherry.otf","Dacherry","Copyright (c) 2023 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"Display-Plan.otf","Display Plan","Copyright (c) 2025 by Khurasan. All rights reserved. | Khurasan"
"Dongding.otf","Dongding","Copyright (c) 2025 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"DreamKudosRegular-m2EVP - Copy.ttf","Dream Kudos Regular","htpps://varitype.com/license | Variatype"
"Enludo-Regular-BF6902bf43a09c4.otf","Enludo Regular","Copyright (c) 2025 by Roomspace Creative Lab. All right reserved.

Enludo Trademark of Roomspace Creative Lab | Bakhrudin Ja'far"
"Ezydraw.otf","Ezydraw","Copyright (c) 2025 by Khurasan. All rights reserved. | contact me at khurasantype@gmail.com | https://khurasanstudio.com/license/ | Khurasan"
"FOTUMI.otf","FOTUMI","Skytroopas Team"
"Falling-Inlove-BF691bcba568612.otf","Falling Inlove Regular","Falling Inlove is a trademark of SiapGraph | Nandini Febriyanti"
"Favorite-Nurse-BF6936e2b5dacf7.otf","Favorite Nurse Regular","Favorite Nurse is trademark of SiapGraph | Nandini Febriyanti"
"Feelin-Jolly-BF692f00babe354.otf","Feelin Jolly Regular","Feelin Jolly is a trademark of SiapGraph | Nandini Febriyanti"
"FogusRound-BF691b11ad3e3a1.otf","Fogus Round","Eka Rifqi Setiawan"
"Fresh-Jeruki-Trial-BF69015fa5c9ff4 - Copy.ttf","Fresh Jeruki Trial Regular","https://www.twinletter.com/license/ | Danial"
"Gecola-Bold-DEMO-BF68bfa59fb241a - Copy.otf","Gecola Bold DEMO","This font was created using FontCreator 11.5 from High-Logic.com | For Personal Use | Ahmad Suhadi"
"Goofrill-Trial-BF683692883fe85.otf","Goofrill Trial Regular","https://www.twinletter.com/license/ | Fuad"
