"filename","font_name","details"
"23XX.otf","23XX","Tevin Bloise"
"AUSRINE.ttf","Unnamed-Regular",""
"Acosta.otf","Acosta","Hafizh Naufal Alvarozzy"
"Acrylic-1.0.0.otf","Acrylic",""
"Airlock.otf","Airlock","100% free | Edward Batkins"
"AstroheadFREE.otf","Astrohead FREE","Astrohead"
"Ayana-Regular.otf","Ayana Regular","Created with Calligraphr.com"
"BLKND-SANS.otf","BLKND SANS Regular","Creative Commons Attribution Share Alike | http://creativecommons.org/licenses/by-sa/3.0/ | Escaphandro"
"BLKND.otf","BLKND Regular","Creative Commons Attribution Share Alike | http://creativecommons.org/licenses/by-sa/3.0/ | Escaphandro"
"BLKND.ttf","BLKND Regular","Creative Commons Attribution Share Alike | http://creativecommons.org/licenses/by-sa/3.0/ | Escaphandro"
"BVLLET.ttf","BVLLET REGULAR","SIL Open Font License (OFL) | http://scripts.sil.org/OFL | insomaniac"
"BadFennec.otf","BadFennec Regular","SIL Open Font License | NC Empire"
"Basilisk-Free.otf","Basilisk Free","Commercial | Nicho"
"Baunk.otf","Baunk","www.Bagerich.com | www.Bagerich.com | Reza Rasenda"
"Baunk.ttf","Baunk","www.Bagerich.com | www.Bagerich.com | Reza Rasenda"
"Blacknode.otf","Blacknode",""
"Bolgarus.otf","Bolgarus Beta Regular",""
"CORETDemo-BF69308d46570b0.otf","CORET Demo","Demo / Personal Use Only | https://koplexs.com/license/ | Koplexs Studio"
"Chrome-Engine-Personal-Use-Only.ttf","Chrome Engine Regular","https://fumitype.com/license/ | Fumitype"
"DAMONES.otf","DAMONES","Skytroopas Team"
"DIGITAL-DIVIDE-DEMO-BF6928156f1aecc.ttf","DIGITAL DIVIDE DEMO REGULAR","Copyright (c) 2025 by 177Studio.com. All rights reserved. | 177Studio.com | 177Studio.com | 177Studio.com"
"DaMiOne-Regular.ttf","DaMiOne","This font was created using FontCreator 14.0 from High-Logic.com | Дамиан Макеев"
"Disolve_regular.ttf","Dissolve RegularRegular",""
"Displej.ttf","Displej Regular","Copyright (c) 2023 by Vladimir Nikolic. All rights reserved. | Vladimir Nikolic"
"Double-Pivot-Personal-Used.ttf","Double Pivot Personal Used","Studio Trequartista | Studio Trequartista | https://studiotrequartista.gumroad.com/ | Muhammad Afif Ersya"
"EBENYA.ttf","EBENYA",""
"EXOBYTE-Regular.ttf","EXOBYTE","Enxyclo Studio"
"EXPLORE-ACROSS-DEMO-BF68d11a911bcf1.ttf","EXPLORE ACROSS DEMO REGULAR","Copyright (c) 2025 by 177Studio.com. All rights reserved. | 177Studio.com | 177Studio.com | 177Studio.com"
"Elektrik.otf","Elektrik Regular",""
"Elltaneixy-BF68a5de712bcd2.otf","Elltaneixy","Erifqizefont Studio. Font, Icon, Illustration and logo Maker. email : erifqizefont@gmail.com | please refer to the license on the website where you bought this font. if you need an extended license, please contact the creator. | https://erifqizefont.com/ | Eka Rifqi Setiawan"
"Elyptix-Personal-Use-Only.ttf","Elyptix Regular","https://fumitype.com/license/ | Fumitype"
"Emptiness-Machine-Personal-Use-1-BF68b255d30a741.ttf","Emptiness Machine Personal Use 1","Lettercorner Studio | Lettercorner Studio | Lettercornerstudio.com | Muhammad Afif Ersya"
"Emptiness-Machine-Personal-Use-2-BF68b255d2f2e70.ttf","Emptiness Machine Personal Use 2","Lettercorner Studio | Lettercorner Studio | Lettercornerstudio.com | Muhammad Afif Ersya"
"Emptiness-Machine-Personal-Use-3-BF68b255d2ce362.ttf","Emptiness Machine Personal Use 3","Lettercorner Studio | Lettercorner Studio | Lettercornerstudio.com | Muhammad Afif Ersya"
"Emptiness-Machine-Personal-Use-4-BF68b255d2e69ea.ttf","Emptiness Machine Personal Use 4","Lettercorner Studio | Lettercorner Studio | Lettercornerstudio.com | Muhammad Afif Ersya"
"Emptiness-Machine-Personal-Use-5-BF68b255d2da4fb.ttf","Emptiness Machine Personal Use 5","Lettercorner Studio | Lettercorner Studio | Lettercornerstudio.com | Muhammad Afif Ersya"
"Equiva.ttf","Equiva Regular","https://www.grontype.com/license/ | Jarnawi Saja"
"FA-1-Regular.otf","FA-1 Regular","Sora Sagano"
"ForceOvering.otf","Force Overing","Amari_design"
"Gasrox-Demo-BF68a96fa833d29.otf","Gasrox","This font was created using FontCreator 13.0 from High-Logic.com | ©Denustudios 2022.  All Rights Reserved | https://denustudios.com/ | Dede Nugraha"
"GenericTechno.otf","Generic Techno Regular","SIL Open Font License | NC Empire"
"GeoFont-Bold-Italic.otf","GeoFont Bold Italic","This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is copied below, and is also available with a FAQ at:
http://scripts.sil.org/OFL


-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | http://scripts.sil.org/OFL"
"GeoFont-Bold.otf","GeoFont Bold","This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is copied below, and is also available with a FAQ at:
http://scripts.sil.org/OFL


-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | http://scripts.sil.org/OFL"
"GeoFont-Edge-Bold-Italic.otf","GeoFont Edge Bold Italic","This Font Software is licensed under the SIL Open Font License, Version 1.1.
This license is copied below, and is also available with a FAQ at:
http://scripts.sil.org/OFL


-----------------------------------------------------------
SIL OPEN FONT LICENSE Version 1.1 - 26 February 2007
-----------------------------------------------------------

PREAMBLE
The goals of the Open Font License (OFL) are to stimulate worldwide
development of collaborative font projects, to support the font creation
efforts of academic and linguistic communities, and to provide a free and
open framework in which fonts may be shared and improved in partnership
with others.

The OFL allows the licensed fonts to be used, studied, modified and
redistributed freely as long as they are not sold by themselves. The
fonts, including any derivative works, can be bundled, embedded, 
redistributed and/or sold with any software provided that any reserved
names are not used by derivative works. The fonts and derivatives,
however, cannot be released under any other type of license. The
requirement for fonts to remain under this license does not apply
to any document created using the fonts or their derivatives.

DEFINITIONS
""Font Software"" refers to the set of files released by the Copyright
Holder(s) under this license and clearly marked as such. This may
include source files, build scripts and documentation.

""Reserved Font Name"" refers to any names specified as such after the
copyright statement(s).

""Original Version"" refers to the collection of Font Software components as
distributed by the Copyright Holder(s).

""Modified Version"" refers to any derivative made by adding to, deleting,
or substituting -- in part or in whole -- any of the components of the
Original Version, by changing formats or by porting the Font Software to a
new environment.

""Author"" refers to any designer, engineer, programmer, technical
writer or other person who contributed to the Font Software.

PERMISSION & CONDITIONS
Permission is hereby granted, free of charge, to any person obtaining
a copy of the Font Software, to use, study, copy, merge, embed, modify,
redistribute, and sell modified and unmodified copies of the Font
Software, subject to the following conditions:

1) Neither the Font Software nor any of its individual components,
in Original or Modified Versions, may be sold by itself.

2) Original or Modified Versions of the Font Software may be bundled,
redistributed and/or sold with any software, provided that each copy
contains the above copyright notice and this license. These can be
included either as stand-alone text files, human-readable headers or
in the appropriate machine-readable metadata fields within text or
binary files as long as those fields can be easily viewed by the user.

3) No Modified Version of the Font Software may use the Reserved Font
Name(s) unless explicit written permission is granted by the corresponding
Copyright Holder. This restriction only applies to the primary font name as
presented to the users.

4) The name(s) of the Copyright Holder(s) or the Author(s) of the Font
Software shall not be used to promote, endorse or advertise any
Modified Version, except to acknowledge the contribution(s) of the
Copyright Holder(s) and the Author(s) or with their explicit written
permission.

5) The Font Software, modified or unmodified, in part or in whole,
must be distributed entirely under this license, and must not be
distributed under any other license. The requirement for fonts to
remain under this license does not apply to any document created
using the Font Software.

TERMINATION
This license becomes null and void if any of the above conditions are
not met.

DISCLAIMER
THE FONT SOFTWARE IS PROVIDED ""AS IS"", WITHOUT WARRANTY OF ANY KIND,
EXPRESS OR IMPLIED, INCLUDING BUT NOT LIMITED TO ANY WARRANTIES OF
MERCHANTABILITY, FITNESS FOR A PARTICULAR PURPOSE AND NONINFRINGEMENT
OF COPYRIGHT, PATENT, TRADEMARK, OR OTHER RIGHT. IN NO EVENT SHALL THE
COPYRIGHT HOLDER BE LIABLE FOR ANY CLAIM, DAMAGES OR OTHER LIABILITY,
INCLUDING ANY GENERAL, SPECIAL, INDIRECT, INCIDENTAL, OR CONSEQUENTIAL
DAMAGES, WHETHER IN AN ACTION OF CONTRACT, TORT OR OTHERWISE, ARISING
FROM, OUT OF THE USE OR INABILITY TO USE THE FONT SOFTWARE OR FROM
OTHER DEALINGS IN THE FONT SOFTWARE. | http://scripts.sil.org/OFL"
