"filename","font_name","details"
"3621-karbon-app.otf",".","For app use only. See license for details. | http://justinpenner.ca/licenses/font-free-license | Justin Penner"
"3621-karbon-desktop.otf","3621 Karbon Regular","For desktop use only. See license for details. | http://justinpenner.ca/licenses/font-free-license | Justin Penner"
"ABJAD DEMO.otf","ABJAD DEMO PERSONAL USE","ABJAD  is a gothic typeface designed in a clean and more modern style | buy your license at www.limitype.com or our partner marketplace | www.limitype.com | Muhammad Muammar / @hellowammar"
"Agise Rujdi.otf","Agise rujdi Regular","Copyright (c) 2020 by Stringlabs. All rights reserved. | Stringlabs"
"Agise Rujdi.ttf","Agise rujdi Regular","Copyright (c) 2020 by Stringlabs. All rights reserved. | Stringlabs"
"Angel wish.otf","Angel wish Regular","Copyright (c) 2020 by Stringlabs. All rights reserved. | Stringlabs"
"Angel wish.ttf","Angel wish Regular","Copyright (c) 2020 by Stringlabs. All rights reserved. | Stringlabs"
"Avestrava Regular Personal Use Only.ttf","Avestrava Regular Personal Use Only Regular","Copyright (c) 2019 by @ilhamtaro. All rights reserved. | Ilham Wahyu"
"BOKO-Regular.otf","BOKO","Joël MAILLOT"
"Baymanat.ttf","Baymanat","This font was created using FontCreator 12.0 from High-Logic.com | Ridwanfil"
"Bellanork-Demo-BF68b69cff1a639.otf","Bellanork Regular","This font was created using FontCreator 13.0 from High-Logic.com | ©Denustudios 2022.  All Rights Reserved | https://denustudios.com/ | Dede Nugraha"
"Berry Rotunda.ttf","Berry Rotunda Regular","Public Domain - Free to copy and enjoy! | Inspired by Nicolas Jenson & William Morris"
"BlackMildRegular.ttf","Black mild Regular","just for personal use | www.alitdesign.net/license | I MADE DWI PUTRA YOGA"
"Blackhole-LVxE5.otf","Blackhole","Regular | Miftahul Arzaq"
"Bladge.ttf","Bladge Regular","www.blankidsfonts.com | www.blankidsfonts.com | Bangkit Tri Setiadi"
"Bromora-Regular.ttf","Bromora Regular","Just for personal use | www.alitdesign.net/license | I Kadek Paniawan"
"CATSchmalfetteThannhaeuser.ttf","CAT Schmalfette Thannhaeuser","Copyright (c) 2015 by CAT-Fonts, Peter Wiegel. All rights reserved. | GPL- General Public License AND OFL-Open Font License | http://www.fsf.org/licenses/gpl.html AND http://scripts.sil.org/OFL | Peter Wiegel nach Herbert Thanhaeuser 1939/40"
"CSAither-Regular_demo-BF672305f509b3f.otf","CS Aither Regular Demo",""
"CSAristide-Regular_demo-BF683bafe90a8b3.otf","CS Aristide Regular Demo",""
"CSMabel-Regular_demo-BF6726f282c6382.otf","CS Mabel Regular Demo",""
"CSMaglite-Regular_demo-BF67c01efe7d438.otf","CS Maglite Regular Demo",""
"CSMirage-Regular_demo-BF67c66c3624d4d.otf","CS Mirage Regular Demo",""
"CSNamika-Regular_demo-BF673c5fe027cce.otf","CS Namika Regular Demo",""
"CSNoisy-Regular_demo-BF671329ad817db.otf","CS Noisy Regular Demo",""
"CSQuispe-Regular_demo-BF67d4ea55c9cb4.otf","CS Quispe Regular Demo",""
"CSRebelion-Regular_demo-BF688d76f484d80.otf","CS Rebelion Regular Demo",""
"CSRuslan-Regular_demo-BF6815781ec34ee.otf","CS Ruslan Regular Demo",""
"CSShore-Regular_demo-BF674ff2f1850b6.otf","CS Shore Regular Demo",""
"CSSlacker-Regular_demo-BF674ff3d40f702.otf","CS Slacker Regular Demo",""
"CSWhale-Regular_demo-BF6726f50eca239.otf","CS Whale Regular Demo",""
"California sun Italic.otf","California sun Italic","Copyright (c) 2020 by Kong font. All rights reserved. | Kong font"
"California sun.otf","California sun","Copyright (c) 2020 by Kong font. All rights reserved. | Kong font"
"Cambrine-Regular_demo-BF683a9fc046422.otf","Cambrine Regular Demo",""
"Candlix-Demo-BF691c258c700ec.otf","Candlix","This font was created using FontCreator 13.0 from High-Logic.com | ©Denustudios 2022.  All Rights Reserved | https://denustudios.com/ | Dede Nugraha"
