"filename","font_name","details"
"Aamonoline.ttf","Aamonoline","Copyright (c) 2017 by Ageng Jatmiko. All rights reserved. | Ageng Jatmiko"
"Amertha_PERSONAL_USE_ONLY.ttf","Amertha PERSONAL USE ONLY","Copyright (c) 2020 by Subectype & Mans Greback. All rights reserved. | Please visit www.mansgreback.com to obtain a commercial license. | https://www.mansgreback.com | Rangga Singgih Subekti & Mans Greback"
"AnacondaWildstyle_PERSONAL_USE_ONLY.otf","Anaconda Wildstyle PERSONAL Regular","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback"
"AnalogScriptClean_PERSONAL_USE_ONLY.otf","Analog Script Clean PERSONAL Personal","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback & Toni Studio"
"AnalogScript_PERSONAL_USE_ONLY.otf","Analog Script PERSONAL USE Personal","Please visit www.mansgreback.com to obtain a commercial license. | Please visit www.mansgreback.com to obtain a commercial license. | http://www.mansgreback.com | Mans Greback & Toni Studio"
"Astroline.ttf","Astroline","www.blankidsfonts.com | https://blankidsfonts.com/licensing/ | www.blankidsfonts.com | Bangkit Tri Setiadi"
"Autograf_PersonalUseOnly.ttf","Autograf PERSONAL USE ONLY","Copyright (c) 2015 by MÂns Greb‰ck. All rights reserved. | Please visit www.aringtypeface.com to obtain a commercial license. | http://www.aringtypeface.com | MÂns Greb‰ck"
"Bellarina.otf","Bellarina","Copyright (c) 2019 by Hendra Pratama. All rights reserved. | ENGLISH:

By installing or using this font, you are agree to the Product Usage Agreement:

1. This font is ONLY for PERSONAL USE. NO COMMERCIAL USE ALLOWED!

2. You are requires a license for PROMOTIONAL or COMMERCIAL use. 

3. CONTACT ME before any Promotional or Commercial Use!

EMAIL SUPPORT:
hptypework@gmail.com


-------------------

INDONESIA:

Dengan meng-install font ini, anda dianggap mengerti dan menyetujui semua syarat dan ketentuan penggunaan font  dibawah ini:

1. Font ini hanya dapat digunakan untuk keperluan ""Personal Use"", atau untuk keperluan yang sifatnya tidak ""komersil"", alias tidak menghasilkan profit atau keuntungan dari hasil memanfaatkan/menggunakan font saya. Baik itu untuk individu, Agensi Desain Grafis, Percetakan, atau Perusahaan/Korporasi.

2. DILARANG KERAS menggunakan atau memanfaatkan font ini untuk kepeluan Komersial, baik itu untuk Iklan, Promosi, TV, Film, Video, Motion Graphics, Youtube, atau untuk Kemasan Produk ( baik Fisik ataupun Digital) atau Media apapun dengan tujuan menghasilkan profit/keuntungan.

3. Menggunakan font ini untuk kepentingan Komersial apapun bentuknya TANPA IZIN dari saya, akan dikenakan biaya EXTENDED LICENSE atau 100 kali harga dari Lisensi Standard.

Informasi tentang Lisensi apa yang akan anda perlukan, silahkan menghubungi saya:
Email: hptypework@gmail.com
Tlp/WhatsApp: 08977000088

Terima kasih. | Hendra Pratama"
"Betterlett Swash.ttf","Betterlett Swash Regular",""
"Betterlett.ttf","Betterlett Regular","Email: nikiartpay@gmail.com
Copyright (c) 2020 by Digitype Studio. All rights reserved. | Commercial License. | Yusuf Niki Syahroni"
"BillaMount-Regular.ttf","Billa Mount Regular","just for personal use | www.alitdesign.net/license | Kana Widana"
