"filename","font_name","details"
"ADECKO.otf","ADECKO","Alfian"
"AMORIA.otf","AMORIA","Gunastudio"
"ARVAQ.otf","ARVAQ","Uncarving"
"ASVHEN-Italic.ttf","ASVHEN Italic","UNCARVING"
"AW Chubby.otf","AW Chubby","Copyright (c) 2008 by Manos Gerasidis. All rights reserved. | Manos Gerasidis"
"AdfileBlur-Regular_demo-BF66fe1ca32b17a.otf","AdfileBlur-Regular Demo",""
"Aero.ttf","Aero","Nirmal Biswas"
"Aeros.ttf","Aeros","burhanafif@gmail.com | Burhan Afif"
"Aqila-DemoVersion-Regular.ttf","Aqila - Demo Version Regular","www.nirmanavisual.com | Sigit Dwipa Raharjo"
"Aqum.otf","Aqum","This font is free for personal and commercial use.

I will be glad if you follow me somewhere here:
Instagram: https://www.instagram.com/blackorbitart
Tumblr: https://blackorbitart.tumblr.com/
Dribbble: https://dribbble.com/blackorbitart
Behance: https://www.behance.net/blackorbitart
VK: https://vk.com/blackorbitart | Slava Antipov"
"Audex.ttf","Audex","Email: ggbotnet@protonmail.com | This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL | https://scripts.sil.org/OFL | GGBotNet"
"AudexItalic.ttf","Audex Italic","Email: ggbotnet@protonmail.com | This Font Software is licensed under the SIL Open Font License, Version 1.1. This license is available with a FAQ at: https://scripts.sil.org/OFL | https://scripts.sil.org/OFL | GGBotNet"
"Autolink.otf","Autolink","This font was created using FontCreator 13.0 from High-Logic.com | Muhamad Yusron Billah"
"BIG-Slant-Ultra-Wide-FFP.ttf","BIG Slant UltraWide Slanted","BIG Slant is, as its name suggests, enormous, because with just three letters, it says more than others on a full line. It's an ultra-wide, ultra-black, and ultra-expressive typeface, designed to occupy space with strength, determination, and style. Each letter is designed to shout without losing elegance, to impress while remaining functional. | Personal use only (FFP)! Leer / Read:
https://defharo.com/product-usage-agreement-ffp/

Commercial license. READ:  https://defharo.com/terms-and-conditions-commercial-fonts/

Please visit www.defharo.com to buy a commercial license. | http://defharo.com/fonts/big/ | Fernando Haro"
"Bitroad-DEMO-BF668e203fe96c7.otf","Bitroad DEMO Regular","Diki Pradipta Tri Atmojo"
"CSAtomic-Regular_demo-BF688d75b8a5cdd.otf","CS Atomic Regular Demo",""
"CSDarwin-Regular_demo-BF688d7cbba76c2.otf","CS Darwin Regular Demo",""
"CSDoma-Regular_demo-BF683acaccda468.otf","CS Doma Regular Demo",""
"CSRilke-Regular_demo-BF68bd473589fac.otf","CS Rilke Regular Demo",""
"CSValtrix-Regular_demo-BF68fc51f50ff4f.otf","CS Valtrix Regular Demo",""
"Caples.otf","Caples Demo Regular","Panca Hasan; Drizy Font"
"Classic Robot Bold Italic.otf","Classic Robot Bold Italic","Neale Davidson"
"Cose Grottesche.otf","Cosegrottesche",""
"DANUBE__.TTF","Danube",""
"DANUB___.TTF","Danube Bold",""
"DIGIFIT.TTF","Digifit",""
"DigibatsItalic-7OjpK.otf","Digibats Italic","This font was created using FontCreator 13.0 from High-Logic.com | Muhamad Yusron Billah"
"DigitechnoFreeversion-pmRK.ttf","Digitechno FreeVersion","Professional Graphic Designer with 8 years of Experience. Logo, Font and Icon Maker. Just google ""putracetol"". | Free For Personal Use | https://creativemarket.com/putracetol | Putra Novembria Candra Kusuma"
